ID,PRODUCT,SLOGAN,DESCRIPTION
365,DIABLO G,Placer oscilante que hipnotiza tu punto G,"Muy, muy pocos vibradores tienen la capacidad de oscilar hacia delante y hacia atrás. Piensa cómo tu Punto G podría beneficiarse... ¡y acertarás! Llega a amantis el juguete que se convertirá en la joyas de tu corona (sexual). Diablo G es un vibrador vaginal y clitoriano, potente, con dos motores situados en su falo y su bracito indicado para el clítoris... pero que incorpora una particularidad muy, muy, muy especial: su estructura principal tiene la capacidad de oscilar 30º, en un movimiento de vaivén adelante-atrás que hará las delicias de muchos Punto G femeninos.¿Lo visualizas? Pues ahora dale más forma: Diablo G es un juguete muy suave al tacto, especialmente ergonómico para el cuerpo de la mujer, resistente al agua y recargable.Modo de empleo:Pulsa el botón On/Off durante 3 segundos para su encendido o apagadoPulsa el botón de pirámide para accionar la vibración del faloPulsa el botón On/Off para activar la vibración del brazo clitorianoPulsa el botón de la pirámide invertida para accionar la oscilación"
366,RABBIT TURBO,Vibrador doble rotador,"¿Has probado una estimulación completa de tus genitales? En amantis tenemos todo tipo de vibradores muy bien diseñados que podrán conseguir que vueles por los aires. RABBIT TURBO es uno de ellos, ¿quieres saber porqué?RABBIT TURBO es un clásico mejorado, mantiene las formas de un vibrador y un estimulador clitoriano con la forma, muy conocida ya, de conejito. La parte del vibrador que introducimos dentro de nuestra vagina tiene está ligeramente estriada para hacer la vibración más expansiva y masajear las paredes de nuestro conducto vaginal.Además de tener un potente programa de 10 modos de vibración diferentes, también tiene un maravilloso movimiento rotador en su punta redondeada. Este movimiento rotador se mueve lentamente masajeando toda tu zona interna y también tiene un efecto turbo que te revolucionará por dentro.Como os decíamos, la parte correspondiente a la estimulación externa tiene terminación de dos orejitas de conejito cuya forma nos ayudará a focalizar el placer en puntos muy concretos no solo de nuestro clítoris, si no de todas los recovecos de nuestra vulva.La parte con la que nos estimulamos interiormente nos ofrece una curvatura y una flexibilidad que permitirán una mayor adaptabilidad a cada cuerpo, así como una forma ahuevada en la punta que favorecerá la estimulación de PUNTO G. Ambos motores son independientes por lo que podrás usarlos de manera independiente o de manera simultánea, además de cualquier otro uso que se te ocurra."
367,Columpio sexual giratorio con estructura de amantis,,"Durante tu infancia te encantaba ir al parque a columpiarte y ahora que ya eres mayor hay algo en ti de esa época que todavía perdura… Esta vez, eso sí, puedes añadirle un toque de sensualidad y montar en casa tu propio columpio para adultos.Este modelo en concreto va provisto con su propia estructura, lo que te permitirá instalarlo en cualquier lugar sin necesidad de agujerear paredes ni techos ni nada por el estilo. Esta misma característica, además, hace que sea una estructura móvil y que puedas trasladarla a donde más te apetezca sin problemas.El columpio está fabricado en materiales de gran resistencia, es capaz de girar 360º y soporta un peso de hasta 180 Kg. Además de para prácticas de BDSM o fetichismos varios, es un aliado ideal para personas con diversidad funcional y asistentes sexuales, ya que facilita el movimiento y el acceso a todo el cuerpo de tu amante.Y si sois un grupo de amigos liberales a los que os gusta montar fiestas de vez en cuando, ¿qué mejor inversión colectiva que esta? Eso sí, ¡haréis cola para probarlo y el público en vuestros eventos se multiplicarán por diez!"
368,LOCOMOTION rugged,tu sex_machine con vibración y ventosa,"¡Esto es un escándalo! Corre, abre tus ojos, entendimiento, fantasías, boca, nalgas y piernas. Cómpratelo, cómpraselo, regálalos a decenas porque este juguete es ‘EL JUGUETE’.Si andas en busca de emociones fuertes, ¡hoy es tu día de suerte! Por fin, llega a amantis el vibrador-impulsor definitivo. Un 2en1 que te hará perder la cabeza cuando descubras sus sensuales movimientos de locomotora… ¡es casi hipnótico! Siente el swing de este dildo bailando dentro de ti mientras te acaricias el resto del cuerpo.LOCOMOTION rugged es un dildo de diseño estriado, que ofrece dos tipos de estimulación diferentes, independientes y combinables:Uno de sus motores activa una potente vibración en 3 intensidades y 7 patrones de ritmos diferentes.El otro de sus motores responde en 3 intensidades a la orden del movimiento más deseado, aquel que impulsa, que percute, que penetra al más estilo ‘Sex machine’.¿Y si te decimos que trae un soporte para que puedas adherirlo a cualquier superficie plana? ¡En serio! Mesas, suelos, la loza del baño… Una auténtica Sex Machine en tu propia casa. Para que juegues y para que veas jugar. El poder de LOCOMOTION es tanto físico como visual pues es sumamente excitante observar esos movimientos ascendentes y descendentes, como se acercan y alejan de la piel, de la humedad, de los cuerpos…Enciende tu locomotora de placer manteniendo pulsado el botón del centro durante varios segundos y, cuando la luz se encienda, ya puedes elegir el tipo de estimulación que desees en ese momento: botón superior para impulsión y botón inferior para vibración. ¡Tú decides! Estremécete al contacto con su suave silicona y siente como resbala dentro de ti."
369,PROSTÁTICO LISO,nueva estimulación anal en amantis,"Hay veces que buscamos introducirnos en el mundo anal de la forma más suave posible, sin sobre saltos ni sensaciones repentinas que pueden resultar demasiado intensas en ese momento.Este plug es perfecto para esas ocasiones. Coge tu lubricante a base de agua favorito como BACANAL, humedece bien todo el juguete, y date tiempo para disfrutar de su suavidad. Tan solo encontrarás 4 leves hendiduras en todo su tronco, diseñadas para que este juguete quede en el sitio perfecto en tu interior.Utiliza su bala vibradora extraíble para aportar un extra: podrás cambiar entre sus 10 patrones de vibración con su botón que se extenderán desde tu perineo hasta lo más profundo de tu interior.¿Ya le has hecho un hueco en tu cajón?"
370,WARRIOR,suave casco vibrador para masaje integral,"Una de las premisas principales de los guerreros espartanos era que, pasara lo que pasara, no te podías rendir en el campo de batalla… Pues gracias a WARRIOR, no sólo no te rendirás antes de tiempo, sino que querrás ir a la batalla una y otra vez sin parar.  Para empezar, este nuevo masturbador tiene un diseño totalmente revolucionario. Su forma de casco recubrirá tu pene, y la sensación será mucho más satisfactoria para tu soldado.La silicona que lo compone es muy suave, de calidad y tanto sus hojas laterales como el capuchón superior son muy flexibles, de modo que podrás manipularlo y estimular tu pene como te plazca.Sus 9 patrones de vibración acompañados de un interior texturizado con puntos y estrías harán que tú y tu pene os estremezcáis al compás, sobre todo cuando lo introduzcas por completo y descubras la sorpresa que guarda la visera para acariciarte la zona del glande y el frenillo.Aplica una buena cantidad de lubricante a base de agua, dale tu lanza al WARRIOR y disfruta al máximo cada contienda, seguro que no podrás resistirte a repetir en más de una ocasión."
371,Realidad Virtual 1,tacto delicioso y 7 formas de vibrar,"El hermano del Realidad Virtual 2 acaba de llegar, y aunque no rota, su delicioso tacto y su potente vibrador situado bajo el glande lo hacen tan adorable que no querrás separarte de él ni a solas ni en compañía de tu amante favorito.    Disfruta de tu RV1 vibrando, eligiendo entre 7 formas distintas, o si te sientes más tradicional... gózalo al modo clásico, dejándolo apagadito... Tu Realidad Virtual obedece. Por poder, puedes hasta ajustarlo a un arnés con sistema de anillas… O fijarlo con su potente ventosa en una superficie lisa y disfrutarlo con tus movimientos de cadera, dejando aparte las manos para hacer con ellas lo que el cuerpo te pida.    Pon a vibrar a tu gusto tu Realidad Virtual a través de su mando, una señal luminosa distinta indica cada marcha en la que te encuentras, es fácil y predictivo, tan solo una tecla de apagado/encendido y otra más que irá pasando al siguiente modo de vibración con tan solo pulsarla. Desde sus marchas más suaves… hasta auténticos terremotos que tambalean los umbrales de placer como si fuese tu primera vez.    Aplica unas gotitas de lubricante por su erecta realidad, cierra los ojos, acarícialo, siente sus suaves testículos y suelta tu imaginación... Su notable flexibilidad te permite doblarlo en cualquiera de tus interiores con jugosas consecuencias, pero sin perder ese punto de firmeza que te elevará por todos los cielos.¿Te animas a sentir otras realidades?"
372,Glup! Plug mini aplique anal de silicona de amantis,,"Glup! Plug es la nueva marca de amantis para el entretenimiento y preparación anal fabricado en silicona médica tan suave... que entra solo Glup! Glup!     Glup! Plug mini es el más pequeñito de los tres Glup! Plugs, excelente para abrir puertas traseras nunca antes descubiertas y para comenzar a disfrutar de las experiencias que la vida te tenía reservadas.   Glup! Plug mini es de la mejor silicona médica que hemos encontrado, tan suave y deslizante que entrará solo con una gotita de lubricante y unas caricias circulares alrededor de la zona a explorar… Glup! Su forma anatómica y progresiva se acomodará en tu interior fácilmente, sumergiéndose como un submarino, y su tamaño compacto es perfecto para iniciarse poco a poco en estos profundos placeres.   Además cuenta con una potente ventosa que podrás fijar a cualquier superficie lisa y liberar tus manos a la imaginación, pruébalo en bañera o jacuzzi, en la ducha o directamente en el suelo. Glup! Plug es seguro, su base ancha nunca permitirá su introducción total."
373,DILDO DOBLE U,"doble penetración, doble placer","¿De pequeñ@ siempre te daban dos? O... ¿Eres de los que creen que DOS siempre es mejor que UNO?  Pues atentos porque llega el DILDO DOBLE U definitivo para la doble penetración. De tamaño justo, no muy grande, ni muy pequeño y de una suavidad y tersa resistencia al tacto, prepárate para disfrutar a solas o en compañía con esta fantasía hecha realidad. Es totalmente unisex y polivalente, disfrútalo de éstas u otras maneras: · PAREJAS DE CHICOS GAYS que quieren disfrutar de la penetración anal a la vez. · CHICAS que sueñan con la doble penetración pero sin la necesidad de estar con dos hombres a la vez. · PAREJAS HETEROSEXUALES en las que el hombre disfruta o fantasea con la penetración anal. Con el dildo doble la chica es penetrada vaginalmente y el hombre analmente. · PAREJAS LÉSBICAS donde lo pueden utilizar absolutamente para todo. Delante, detrás, a la vez... De forma realista y con dos penes de diferente tamaño para poder penetrar la zona anal y la vaginal sin problemas, este pequeño dildo convertirá tus sueños y tus fantasías en realidad. ¿A qué esperas para probarlo?"
374,Realidad Virtual®Mega_Brute,pene descomunal de 31cm,"Mega-Brute es demasiado grande, debes saberlo, no podrás con él. Tenlo en cuenta, más que un pene es un antebrazo.    Ideal para los amantes de las extremidades más extremas, Mega-Brute no es para principiantes, inexpert@s o gente con sensibilidad en general. Megra-Brute es enorme y destructivo.   Pero su impacto visual tan descomunal choca con lo gustoso de su tacto cálido, blandito, suave y delicado como un pene joven y sano de hermoso corcel, además posee una estructura vertebrada interna que le proporciona cierta estabilidad y rigidez y te permitirá moldearlo a tu gusto. Pesa casi 1 kg, te cuidado!! Puedes usarlo con un arnés de anillas de amantis y usar una anilla de metal de 50mm para que se sostenga con mayor potencia o puedes sujetarlo con su ventosa a una superficie plana. Mega Brute es bestial, pero adorable. Hazte con él."
375,ZETRO,Plug anal grande de metal con brillante,"Caña y belleza. Todo unido en un solo plug anal. Esta sería una bonita definición para ZETRO. Un juguete anal para los expertos, ya iniciados, o muy atrevidos en asuntos posteriores. Mirad las fotografías, no necesita grandes explicaciones. Se impone por sí solo y lo adorarás solo al mirarlo. Pero si necesitas literatura, aquí la tienes:ZETRO es un plug anal de metal de 14 cm de largo, 12 sin contar su base. Con 3,5 cm de diámetro en sus partes más anchas, no es un plug exagerado, y sí insertable en la mayoría de anos entrenados. Sus gracias son varias: la primera, su punta en forma de capuchón permite una fácil inserción; su forma, distribuida en 4 beads, genera placer al poner y quitar, poner y quitar, poner y quitar...; y por último, su base, toda una piedra preciosa imitación diamante blanco, hace que quieras llevar toda la santa noche la alhaja puesta. (El color del diamante puede variar en relación al mostrado en la fotos)"
376,RODEO plug anal con mando y masaje de bolas rotadoras,,"Descubre un nuevo mundo de sensaciones anales gracias a nuestro héroe ROTADOR RODEO.Las bolas giratorias que esconde en su interior estimularán tu lado oscuro como nunca antes. Déjate arrastrar por la espiral de placer que te proporcionarán sus 3 tipos de masaje por rotación. Viajarás por la galaxia.Fabricado en suave silicona de grado médico, este plug anal te conquistará por la sensualidad de sus materiales. Introdúcelo despacito y disfruta de cada milímetro de él acariciando tu piel.RODEO es UNISEX por lo que está pensado para que sea usado tanto por ELLA como por ÉL.Si lo lleva puesto ELLA, usado durante la relación sexual con un compañero o en combinación con otro juguete vaginal, sentirás una agradable sensación de “plenitud.”Además, la rotación de las bolas giratorias de su interior intensificará   las sensaciones al hacer el amor y durante la penetración el hombre sentirá también una mayor “plenitud” debido a la mayor rigidez vaginal.Si lo lleva ÉL,no tendrá mucho tiempo para contarlo porque la estimulación directa del Punto P junto con la rotación de las bolitas interiores le llevará directamente a un orgasmo que nace de lo más profundo y se prolonga en el tiempo.Y lo mejor de todo: RODEO viene con pequeño mando a distancia, para que podáis jugar tanto dentro como fuera de casa sin que nadie se dé cuenta.Si te gusta jugar por detrás no puedes perderte esta nueva propuesta. SOLO no dejará indiferente a ningún fan de la estimulación anal."
377,TAMBOR TURBO,el conejito rotador recargable,"Deja de marear la perdiz, la búsqueda del punto G llega a su fin.TAMBOR es más de lo que parece, su suave silicona esconde un vibrador ligero, ergonómico, elegante... y muy potente.Su dildo, recto y texturizado con suaves líneas, acaba en una cabeza abultada... ¿adivinas para qué? ¡Exacto! para darle a tu punto G la sacudida de tu vida con sus 3 ritmos de rotación y su función turbo.Escoge entre sus 10 modos de vibración independientes para que su conejito marque el ritmo sobre tu clítoris hasta que digas basta. Y lo mejor de todo… Olvídate de pilas, porque TAMBOR es recargable.No olvides acompañarlo con tu lubricante a base de agua preferido, como Desliz!, y limpiarlo antes y después de cada uso con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo con nuestras bolsas de satén en tamaño grande."
378,DÚPLICE,disfruta de la doble penetración sin complicación,"¿Has soñado con disfrutar de una doble penetración? ¿Te gustaría sentir esa plenitud pero todo te parece un poco complicado? Pues prepárate para celebrar la llegada de este juguete a tu vida… Dúplice te facilita una completa y rica doble penetración gracias a su doble dildo de suave silicona con vibración y totalmente sumergible. Perfecto para fantasías solitarias o polvos de campeonato.Ya está aquí DÚPLICE, tu nuevo vibrador de amantis con doble dildo, función turbo, 10 modos de vibración, recargable por USB y todo hecho de silicona médica super suave texturizada con increíbles estrías realísticas. Sí sí, tu fantasía hecha realidad. Eleva tu placer sexual hasta lo máximo. Siéntete doblemente satisfecha, de manera generosa y de forma simultánea. Con DÚPLICE la doble penetración será más que sencilla que nunca: solo deberás tener a mano un buen lubricante con base agua y dejar que tu lado oscuro se relaje con su vibración.Este juguete está especialmente diseñado para que su tamaño y curvatura, tanto de dildo vaginal como el anal, se adapten a ti, sientas todas sus estrías y forma realística. Sentirás una estimulación contundente, poderosa y desbordante.Además, ¡aquí va todo a pares! cuenta dos botones, uno de encendido/ apagado y otro para que varíes entre sus 10 patrones de vibración pero ¡ojo! si pulsas este de forma continuada, se activa la… ¡Función Turbo!… Ejem.. No queremos ni contarte lo que eso supone.Multiplica tus sensaciones, SEXPLÓRATE con DÚPLICE de amantis."
379,SHEENA,Masturbador multiexperiencia con doble orificio,"¿Ya has probado los placeres de las mangas masturbadoras? ¿Estás listo para un toque más de realismo, sin sacrificar las bondades de los masturbadores más estriados? Sigue leyendo lo que tenemos para ti.Queremos avivar tu imaginación, por eso este masturbador tiene dos orificios: uno con una boca en la que no echarás en falta ningún detalle: labios carnosos, dientes suaves y blanditos, lengua flexible y móvil, paladar detallado y campanilla, para que deleites tu imaginación con la sensación más realista posible; y una vulva con los poros de los labios mayores detallados y un clítoris que te invita a restregar el glande, pero eso no es todo: su interior está texturizado con múltiples puntos al principio, y estrías al final, que harán que te derritas de placer.Lubrica tu pene con un lubricante a base de agua antes de comenzar a usar tu nueva manga y déjate llevar por las sensaciones. Si te sientes especialmente generoso invita a tu acompañante a sujetarlo y moverlo, o si tiene pene a introducirse en el orificio opuesto y encontraros en el medio.¿Te apetece un extra? Estás de suerte porque puedes incorporarle una bala vibradora: introdúcela en el orificio opuesto al que vayas a penetrar y notarás cómo sus vibraciones se transmiten por todo el juguete. Prueba a sumergirlo unos minutos en agua caliente para aumentar el realismo de tu sesión íntima.El límite lo marcas tú. ¿Qué te va a apetecer hoy?"
380,MIKE,bóxer efecto cuero y tiras ajustables,"Sabemos que el buen hombre amántico se ha visto, con muy buenos ojos, toda peli cachonda de strippers masculinos y posiblemente, también cuente en su colección con un algún arnés de pecho, entre otras cosas…Te presentamos a MIKE el bóxer que siempre quisiste tener, llevar, quitar y hasta lucir en público. Mike es juguetón, Mike es poderoso, Mike es versátil, Mike es… en definitiva ¡mágico!De efecto cuero, suave y elástico, ribeteado en sus laterales con cordones ajustables, rematado con tachuelas metálicas y… ¡ zascarrás! apertura frontal con cremallera para sorpresa final.¡Desata ya el Mike que hay en ti!"
381,ARO medialuna vibradora de amantis,,"No hay nada que nos guste más en amantis que le deis rienda suelta a la imaginación. Por eso tienes que echar un vistazo a nuestra medialuna.Utiliza el hueco de este nuevo juguete de amantis para introducir un pene y usarlo a modo de anillo vibrador, con sus dos bracitos pinzando ligera y suavemente el escroto propio o ajeno, o hacia el clítoris que desee recibir placer.Utilízalo a modo de masturbador masculino lubricando generosamente tu aro y subiéndolo y bajándolo por el tronco del pene.Utiliza sus bracitos para estimular zonas concretas como el frenillo del glande, los pezones, los labios mayores y menores, el clítos, los dedos de los pies… ¡Cuantas opciones en un solo juguete!¿Ya has decidido si vas a compartirlo o va a ser solo para ti?"
382,CHILLY,el vibra veggie de amantis más picante,"En amantis estamos concienciados con el medio ambiente y queremos que lleves una vida sana, por eso te traemos esta colección de verduras y hortalizas para que satisfagas tus deseos más veggies.El más pequeño, juguetón y picantón de nuestros veggies se deslizará en tu interior con una facilidad asombrosa. Cógelo como si de un lapicero se tratase y dedícate a recorrer cada centímetro de tu anatomía (o de la de tu acompañante). Si quieres una estimulación menos directa dale la vuelta y utiliza su rabillo como si de la más fina pluma se tratase. Su cuerpo flexible se adaptará a cada juego al que le sometas.Y todavía no te hemos mencionado lo mejor: Te pondrás a temblar en cuanto actives su potente vibración con su botón único. Juega en la cama, en la cocina y hasta en la bañera, porque todos los veggies son sumergibles.Recuerda que hay que lavar tus vegetales antes de disfrutarlos, para ello pulveriza un poco de Limpín y acláralos con agua tibia. Guarda tus veggies secos y en bolsas independientes para que te “lleven al huerto” siempre que quieras."
383,Bolsa algodón ORGASMELIA SINGULARIS,haz florecer tu sexualidad,"En amantis llevamos años apostando por un mundo más satisfecho y más sostenible, donde haya más flores y alegría.Esta hermosa planta está basada en uno de nuestros primeros juguetes, ERGO-G, que enamoró con su pronunciada curva, su anilla y sus tres motores, y ayudó a miles de personas a hacer florecer su sexualidad. Hoy, queremos que ayude a que la Tierra siga siendo azul y verde.No es casualidad que desde amantis incorporemos cada vez más juguetes recargables a nuestro catálogo, tengamos iniciativas como el plan vibronove para animaros a reciclar, ni que intentemos reducir plásticos en nuestras tiendas físicas, por ejemplo utilizando bolsas de papel desde nuestros inicios. No obstante, queremos seguir ayudando a nuestro planeta con más iniciativas y que llevéis vuestra bolsa de algodón a cualquier lugar.Haz florecer tu sexualidad con las nuevas bolsas algodón de amantis y de paso ayuda al medio ambiente."
384,FLOWER,pequeño plug de dilatación con flor decorativa,"Si quieres disfrutar de la vida y de todos los placeres que esta te brinda, asegúrate de llevar esta flor en tu trasero. Únete al Flower Power y vete descubriendo las delicias anales a tu ritmo, dejándote llevar, ascendiendo a un maravilloso plano donde el placer lo invade todo. Su peso y su material metálico es un perfecto transmisor de temperatura, enfríalo con unos hielos o caliéntalos en agua templada a tu gustoEste plug progresivo tiene el tamaño perfecto para adaptarse a todos los gustos, y su textura ultra lisa desliza como pocos con unas gotitas de tu lubricante anal de confianza.Pásate a formar parte del Flower Power y déjate invadir por el amor y el placer. “Todo lo que sientes es todo lo que importa, porque todo lo que importa está hecho de lo que sientes” Marelin Thornton."
385,MUERDE,Torso sexual de 7Kg,"MUERDE es el nuevo torso sexual de amantis. Mantiene unas dimensiones totalmente proporcionadas y a escala. Aunque el calor te va a subir solo con sentir el peso de la caja que la contiene.Tiene un tacto realmente suave y blandito, de modo que acariciar o pegar unos buenos apretones es todo un gustazo en sí mismo.Pero que no te engañen sus curvas, también nos enseña su lado más pícaro en esa pose de piernas abiertas dejando al descubierto sus partes íntimas, para que le des unos lametazos con tu lubri de sabor favorito o entres dentro de ella y te haga sentir que estás en el cielo.Tú decides si quieres gozar de una compañía de lujo en tus momentos más ardientes a solas o en compañía.¿CÓMO SE UTILIZA MUERDE TORSO SEXUAL?Aplica un poco de lubricante a base de agua en tu pene, en el torso o en ambos, e introduce tu miembro por cualquiera de sus canales de entrada. Y si tienes pensado utilizar la lengua, prueba con algún lubricante con sabor para hacerlo más delicioso.Juega sólo o en compañía. Si eres de los que le gusta incluir a tu acompañante, podéis montar una performance muy divertida. No sólo disfrutarás follándote este torso, sino viendo cómo se excita la persona que mira.Consejos y Limpieza: Antes y, especialmente, después de cada uso lave el juguete con agua tibia y Limpín, luego déjelo secar al aire. Una vez seco, puedes aplicarle unos polvos revitalizadores para que conserve mejor su textura realista. No utilice aceite mineral, lubricantes a base de aceite o lubricantes a base de silicona. No utilice cepillos o limpiadores ácidos. Guárdalo en un lugar fresco y seco."
386,ORÜKI,Vibrador ondulado y flexible con función calor,"¿Quieres que haya una metamorfosis en tu vida sexual? Prepárate para sentir mariposas y no serán en el estómago y ORÜKI se va hacer cargo de esto.ORÜKI es un vibrador muy especial por su forma, es una oruguita de suave silicona y excitantes anillos estriados con 10 modos de vibración diferentes y una agradable función calor. Si eres una fanática del movimiento de la palanca, este es tu juguete. ORÜKI posee una gran flexibilidad por lo que podrás estimular tanto tu uretra como tu clítoris doblando el juguete a tu antojo, sin dejar de lado la estimulación interna.Tiene diseño ergonómico maravilloso, gracias a su pronunciada curvatura y ahuevada forma sentiras que se adapta de una manera muy natural a tu conducto vaginal y su punta coincide a la perfección en tu zona G. ORÜKI es suave y amable, pero también imponente pues aunque es un juguete manejable tiene unas dimensiones muy pronunciadas y redondeadas en su punta.Como se utiliza el vibrador estriado y flexible ORÜKIORÜKI solo tiene un botón, para encender el juguete has de presionarlo durante dos segundos, y una vez encendido con un doble-click activarás la función calor y con una pulsación corta cambiarás de combinación vibratoria.Puedes empezar activando su función calor y recorrer las estrías del juguete por tu cuerpo. Será una progresiva y suave manera de que tu cuerpo entre en calor. Empieza jugando con las intensidades de vibración más bajas rozando suavemente el exterior de tu vulva. Según vayas sintiendo que el calor sube por tu cuerpo y también ORÜKI está calentito puedes probar a introducirlo en tu vagina.Una vez lo tengas dentro podrás ir haciendo palanca con él alternando entre la uretra y el clítoris y, simultáneamente, tu punto G. Aquí tu intuición y tus manos comenzarán a jugar alternando las infinitas posibilidades que existen gracias la flexibilidad de ORÜKI.Recuerda que ORÜKI mejora si lo envuelves con un lubricante de agua como Desliz! y lo separas de otros juguetes en alguna de nuestras bolsas de satén. Por último, te recomendamos que lo laves antes y después con nuestro jabón bactericida Limpín."
387,DITALE Vibrador para dedo,,"¿Cómo podemos intensificar sensaciones? Las cosquillitas que hacemos con nuestras propias manos son muy gustosas, pero, ¿Qué pasa si metemos una estimulación extra?DITALE es un accesorio para tus encuentros más íntimos, que no solo cubre tus ganas de placer, si no que está pensado para que se quede siempre contigo y no se pierda entre las sábanas.DITALE es un vibrador de bolsillo con sujeción para que puedas meter uno de tus dedos por la anilla y acompañar tus caricias de suaves o potentes vibraciones ya que tiene 3 intensidades diferentes, así como de 6 combinaciones rítmicas distintas.La parte externa de DITALE, es decir, la que hace contacto con tu piel o la de tus amantes es de una suave silicona médica hipoalergénica y biocompatible muy gustosa y estriada cuyos sinuosos relieves aumentarán el placer del contacto. Además tiene dos extremos, uno que es más fino y permite llegar a recovecos más escondidos de nuestro cuerpo y otro que es más ancho, perfecto para estimular zonas que están más expuestas.Su diseño te permitirá introducir cualquiera de tus dedos en la pequeña y flexible anilla, y gracias a su ergonomía lo sentirás harán que lo sientas como una extensión natural de tu cuerpo, pues tu dedo se ajustará perfectamente a su ligera curvatura. Por no hablar de su tamaño, que te permitirá llevarlo a dónde tú quieras."
388,HULA_DOM PINK,Montura sexual de cintura con esposas,"La cintura es una zona de nuestro cuerpo con grandes connotaciones eróticas, antes de pasar a mayores uno de los primeros sitios que damos permiso a tocar si estamos flirteando con alguien suele ser la cintura. Por tanto es una zona que nuestra memoria ha albergado como inocente pero previa a un posible encuentro erótico, un primer acercamiento, ¡los más sensuales de todos!En amantis le damos importancia a todas las partes del cuerpo, por lo que nos alegra presentarte a HULA-DOM, una montura sexual de cintura que va unida a unas esposas. Esta pieza es enteramente desmontable y está compuesta por el cinturón de doble hebilla con tiras ajustables y dos esposas para nuestras muñecas (o pies). Para unir las esposas y el cinturón encontrarás unas piezas extras que también te servirán para unir todas las piezas de mil maneras diferentes.El material del que está hecho HULA-DOM es cuero vegano; un tipo piel sintética que imita al cuero, pero que no está testado con animales. Cada pieza tiene hebillas doradas y zona de agujeros que harán que puedas ajustarlas a la medida que quieras, tanto de tus muñecas o pies como a tu cintura.Esta vez el hula-hop de toda la vida no dará vueltas sobre tu cintura, si no que serás tú la que te retorcerás de placer siendo dominada o dominando a alguien, pudiendo crear posturas inimaginables. Ten cuenta principio fundamental del BDSM, el SCCP (sexo seguro, sensato, consensuado y placentero) y no olvideis tener una palabra de seguridad que nos ayude a entender si algún límite está siendo sobrepasado."
389,Body de encaje y tul semitransparente y con aperturas,WoW,"Delicadeza y sutileza con una alta carga de sensualidad cubriendo tu piel...   Una sóla pieza adornando y estilizando tu bella anatomía, en color negro, el más elegante y favorecedor. Combinando tul semitransparente con elegante encaje floral y coronado con lazos de satén. Hecho para el deleite propio y compartido.   Insinúa tus pechos bajo las copas triangulares de encaje, reforzados por cintas elásticas para lucir un escote más bonito y envuelto de dulzura por 3 lazos de satén. Tirantes elásticos a los hombros, ajustables y doble cinta paralela de cierre con lazada a la espalda para adaptarse a todas las anatomías. Desde el pecho hasta el pubis una cinta ancha de tul cubriendo tu sexy ombligo sin ocultarlo para culminar en tus bajos con una abertura total y doble cinta trasera para esconderlas entre tus nalgas esperando ser retiradas o sobre tus glúteos, tú decides como te sientes mejor. Impresionante por delante, irresistible por detrás.   Fácil de poner, más fácil de quitar, aunque te adelantamos que te resistirás a salir de él y tampoco será necesario, la abertura central deja el camino libre al desenfreno.Diseñado para embellecer tu body y potenciar tus curvas. Talla: M (45-70kg)"
390,Renegade Power Cage,¡enfunda tu pistola!,"¿Que para qué sirve una funda de pene? ¿Que tú no la necesitas? ¡Tampoco necesitas tu smartphone y bien que va de perlas! ¿O, no? Pero si con esta metáfora aún no te hemos convencido de por qué enfundar tu revólver es de lo más exitoso y placentero... Siéntate, vaquero, porque te vas a impresionar: • Añadirás más contorno a tu pene, por lo que tu pareja te sentirá más. • Esta funda es acanalada, con estrías y puntos de diferentes tamaños, por lo que darás más placer a tu partner, al entrar, salir, remolonear y frotarte. ¡Incrementa los orgasmos! • Está diseñada con un patrón perfecto para adaptarse a todo tipo de cuerpos. Introduce tu pene en ella y completa la sujeción con la anilla para los testículos.¿Disfunción eréctil? Y si tienes problemas de erección, este juguete es ideal para todos aquellos hombres que sufren DE. Las fundas son una alternativa ideal a cirugías, pastillas y procedimientos médicos caros. Con fundas como ésta, tu miembro será más grande, grueso y podrás mantener tu erección y retardar la eyaculación."
